,PID,SeqID,Title,Artist
0,10224,0,El Chapo Jr,2 Chainz
1,10224,1,Good Drank,2 Chainz
2,10224,2,No Heart,21 Savage
3,10224,3,My Shit,A Boogie Wit da Hoodie
4,10224,4,No Problem (feat,Chance The Rapper
5,10224,5,Party,Chris Brown
6,10224,6,Used to This,Future
7,10224,7,Poetic Justice,Kendrick Lamar
8,10224,8,Erase Your Social,Lil Uzi Vert
9,10224,9,Money Longer,Lil Uzi Vert
10,10224,10,Froze (feat,Meek Mill
11,10224,11,Litty (feat,Meek Mill
12,10224,12,Bad and Boujee (feat,Migos
13,10224,13,Call Casting,Migos
14,10224,14,T-Shirt,Migos
15,10224,15,Congratulations,Post Malone
16,10224,16,Deja Vu,Post Malone
17,10224,17,Too Young,Post Malone
18,10224,18,White Iverson,Post Malone
19,10224,19,Come Get Her,Rae Sremmurd
20,10224,20,No Type,Rae Sremmurd
21,10224,21,Now That I Know,Rae Sremmurd
22,10224,22,Swang,Rae Sremmurd
23,10224,23,Don't You,Sage The Gemini
24,10224,24,beibs in the trap,Travis Scott
25,10224,25,No Limit,Usher
26,10224,26,Wyclef Jean,Young Thug
27,10325,0,Loud,Mac Miller
28,10400,0,Skinny Love,Birdy
29,10400,1,Blindsided,Bon Iver
30,10400,2,Creature Fear,Bon Iver
31,10400,3,Flume,Bon Iver
32,10400,4,For Emma,Bon Iver
33,10400,5,Lump Sum,Bon Iver
34,10400,6,Skinny Love,Bon Iver
35,10400,7,Team,Bon Iver
36,10400,8,The Wolves (Act I and II),Bon Iver
37,10400,9,Dancing On My Own,Calum Scott
38,10400,10,Burning House,Cam
39,10400,11,Time,Hans Zimmer
40,10400,12,Incomplete,James Bay
41,10400,13,Let It Go,James Bay
42,10400,14,Move Together,James Bay
43,10400,15,Need The Sun To Break,James Bay
44,10400,16,All I Want,Kodaline
45,10400,17,Jealous,Labrinth
46,10400,18,Georgia,Vance Joy
47,10572,0,Back To Black,Amy Winehouse
48,10572,1,Definition,Black Star
49,10572,2,No Diggity,Blackstreet
50,10572,3,Banquet,Bloc Party
51,10572,4,Forget It,Blood Orange
52,10572,5,Baby I'm Yours (feat,Breakbot
53,10572,6,24K Magic,Bruno Mars
54,10572,7,Just the Way You Are,Bruno Mars
55,10572,8,Marry You,Bruno Mars
56,10572,9,Call Me Maybe,Carly Rae Jepsen
57,10572,10,Get Lucky,Daft Punk
58,10572,11,Lose Yourself to Dance,Daft Punk
59,10572,12,"Hold On, We're Going Home",Drake
60,10572,13,Take Care,Drake
61,10572,14,Heaven,Emeli Sandé
62,10572,15,Pony,Ginuwine
63,10572,16,Domino,Jessie J
64,10572,17,Uptown Funk,Mark Ronson
65,10572,18,Doo Wop (That Thing),Ms. Lauryn Hill
66,10572,19,Stand By Me,Otis Redding
67,10572,20,"So Fresh, So Clean",OutKast
68,10572,21,Coffee,Sylvan Esso
69,10572,22,I Feel It Coming,The Weeknd
70,10572,23,Waterfalls,TLC
71,10572,24,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
72,130767,0,Ghost Town,Adam Lambert
73,130767,1,No Beef,Afrojack
74,130767,2,Blame,Calvin Harris
75,130767,3,Dollar Signs,Calvin Harris
76,130767,4,Love Now,Calvin Harris
77,130767,5,Open Wide,Calvin Harris
78,130767,6,Outside,Calvin Harris
79,130767,7,Summer,Calvin Harris
80,130767,8,Sweet Nothing,Calvin Harris
81,130767,9,Thinking About You,Calvin Harris
82,130767,10,This Is What You Came For,Calvin Harris
83,130767,11,Under Control,Calvin Harris
84,130767,12,You Used to Hold Me,Calvin Harris
85,130767,13,Kick Out The Epic Motherf**ker,Dada Life
86,130767,14,Around The World,Daft Punk
87,130767,15,Five Hours,Deorro
88,130767,16,The Giver (Reprise),Duke Dumont
89,130767,17,Won't Look Back,Duke Dumont
90,130767,18,Mi Gente,J Balvin
91,130767,19,Disarm You (feat,Kaskade
92,130767,20,Bend Ova,Lil Jon
93,130767,21,Light It Up (feat,Major Lazer
94,130767,22,Places,Martin Solveig
95,130767,23,I Took A Pill In Ibiza - Seeb Remix,Mike Posner
96,130767,24,Boneless,Steve Aoki
97,130767,25,Greyhound,Swedish House Mafia
98,130767,26,It Won't Kill Ya,The Chainsmokers
99,130767,27,Roses,The Chainsmokers
100,130767,28,Wake Up Alone,The Chainsmokers
101,130767,29,Heads Will Roll,Yeah Yeah Yeahs
102,130767,30,In My Room (feat,Yellow Claw
103,130767,31,Clarity,Zedd
104,130767,32,Cocaine Model,ZHU
105,130767,33,Cold Blooded,ZHU
106,130767,34,Generationwhy,ZHU
107,130767,35,In the Morning,ZHU
108,16036,0,In Da Club,50 Cent
109,16036,1,Dancing Queen,ABBA
110,16036,2,Waterloo,ABBA
111,16036,3,Sprawl II (Mountains Beyond Mountains),Arcade Fire
112,16036,4,When The Sun Goes Down,Arctic Monkeys
113,16036,5,Crazy In Love,Beyoncé
114,16036,6,After the Disco,Broken Bells
115,16036,7,Believe,Cher
