,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
5,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Photograph,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:6NoBzYmh5gUusGPCfg0pct,x
6,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Thinking Out Loud,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:6NoBzYmh5gUusGPCfg0pct,x
9,spotify:track:6lanRgr6wXibZr8KgzXxBl,A Thousand Years,spotify:artist:7H55rcKCfwqkyDFH9wpKM6,Christina Perri,spotify:album:15yvc643iYfQtb6zh9NEJo,A Thousand Years
10,spotify:track:5TvE3pk05pyFIGdSY9j4DJ,Say Something,spotify:artist:5xKp3UyavIBUsGy3DQdXeF,A Great Big World,spotify:album:3kwbwO3wtwyNo7zCFzWkcW,Is There Anybody Out There? - Track by Track Commentary
11,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:album:2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour
13,spotify:track:2jyjhRf6DVbMPU5zxagN2h,Let Her Go,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,Passenger,spotify:album:0kjXSwSLVipUi4lSEeF0yl,All The Little Lights
27,spotify:track:4zzzZ1UNfr75ASG1lUE9L1,Stay - Album Version (Edited),spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:album:1ciAVKFdlpLi2eGDlXv6Bo,Unapologetic
30,spotify:track:0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:4xWulj18AGahlyuZPulaGe,Unorthodox Jukebox
54,spotify:track:3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,spotify:album:6TqRKHLjDu5QZuC8u5Woij,The Diary Of Alicia Keys
55,spotify:track:7IWkJwX9C0J7tHurTD7ViL,When We Were Young,spotify:artist:4dpARuHxo51G3z768sgnrY,Adele,spotify:album:0K4pIOOsfJ9lK8OjrZfXzd,25
56,spotify:track:13HVjjWUZFaWilh2QUJKsP,Let It Go,spotify:artist:4EzkuveR9pLvDVFNx6foYD,James Bay,spotify:album:5BxvswQSGWrBbVCdx6mFGO,Chaos And The Calm
108,spotify:track:1aUT4xl8iiYNr6emik4qTB,I Need A Doctor,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,spotify:album:2IS597VgU3PdBGeMpJOZ1K,I Need A Doctor
131,spotify:track:6ndmKwWqMozN2tcZqzCX4K,Remember The Name (feat. Styles Of Beyond),spotify:artist:7dWYWUbO68rXJOcyA7SpJk,Fort Minor,spotify:album:5v4Vx9loqMQCS3J7OmP9pa,The Rising Tied
277,spotify:track:2N3F1EQCpnIeDOA3rLSAfE,Break Up In A Small Town,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,spotify:album:1M0vpI6KG4y0RwRuQ8SQxT,Montevallo
588,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Fix You,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:album:4E7bV0pzG0LciBSWTszra6,X & Y
592,spotify:track:4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:album:5zClcGCSWj926AMjvBNSLc,Songs About Jane: 10th Anniversary Edition
1286,spotify:track:5Zc3XI1rq7opdZUwFUdKCj,If I Lose Myself,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,spotify:album:1Cm6wsvnTlOXrfI9PkD8i4,Native
1320,spotify:track:6fOPuabPdAJ0HgqJFcDGb1,Apologize,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,spotify:album:72c3ugX0yPaFCtEuHPDXaY,Dreaming Out Loud
1355,spotify:track:53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,spotify:artist:4phGZZrJZRo4ElhRtViYdl,Jason Mraz,spotify:album:64SChsjQBiEe3aVTFYnW1b,Love Is A Four Letter Word
1360,spotify:track:4lLtanYk6tkMvooU0tWzG8,Grenade,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:6J84szYCnMfzEcvIcfWMFL,Doo-Wops & Hooligans
1526,spotify:track:5JuA3wlm0kn7IHfbeHV0i6,All I Want,spotify:artist:4BxCuXFJrSWGi1KHcVqaU4,Kodaline,spotify:album:7vByqqEWERubaAEmTWljDU,In A Perfect World
1799,spotify:track:50PWlIBU7PlGGwzgN8TiFJ,Million Reasons,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:album:4JiY4JUvXdEA7UFIbiAyor,Joanne
2096,spotify:track:0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:album:2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour
2292,spotify:track:14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Tove Lo,spotify:album:47C7w4o1resDhr7jvYEpxE,Queen Of The Clouds
2712,spotify:track:6VObnIkLVruX4UVyxWhlqm,Skyfall - Full Length,spotify:artist:4dpARuHxo51G3z768sgnrY,Adele,spotify:album:6TwN6Lq9glwnG8kNp6chHY,Skyfall
2819,spotify:track:3PfOr0zcqy2aOqHaMxnzbK,Faded,spotify:artist:6mU8ucezzms5I2kNH6HNlu,Conor Maynard,spotify:album:5jxXFBCxg9dCJhj1Ev8TNq,Covers
2854,spotify:track:2ZNowcE7ehJYEkChoRjSx0,Life Of The Party,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,spotify:album:5wKylB0Zwnxz046O7po25D,Handwritten
2858,spotify:track:4BWBbJ9MKpnt30SFYEomzJ,Lighters,spotify:artist:77IURH5NC56Jn09QHi76is,Bad Meets Evil,spotify:album:7CWSLPmiMIHXfETjpdOVT6,Hell: The Sequel
2937,spotify:track:6WQLkih8nE0JdUCEyLaGnQ,Heroes (we could be),spotify:artist:4AVFqumd2ogHFlRbKIjp1t,Alesso,spotify:album:3yqh9ozOA2cAgPUJaveAuG,Forever
2968,spotify:track:7gHs73wELdeycvS48JfIos,Faded,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,Alan Walker,spotify:album:5HMjpBO0v78ayq5lreAyDd,Faded
3734,spotify:track:1zCoCopxgQmozHBuuyfW2K,"Gone, Gone, Gone",spotify:artist:6p5JxpTc7USNnBnLzctyd4,Phillip Phillips,spotify:album:6Q763AFH9UEyRKe0aFDJt0,The World From The Side Of The Moon
3895,spotify:track:1JCCdiru7fhstOIF4N7WJC,Amnesia,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,spotify:album:2LkWHNNHgD6BRNeZI2SL1L,5 Seconds Of Summer
3909,spotify:track:3vOmmLuvEUgGaVuRsCs2QF,I Was Made For Loving You,spotify:artist:1vSN1fsvrzpbttOYGsliDr,Tori Kelly,spotify:album:6Q7yIbfFPzplTCBM7d1WRO,Unbreakable Smile
3916,spotify:track:49kjlZP49LMD1MrrcvXDET,For the First Time,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,The Script,spotify:album:5rtaHEtZdWQSrKJmuqPTB0,Science & Faith
