,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
2575,spotify:track:0fTFmyy8AwWHiRoDgTh80w,Vava Voom,spotify:artist:1JPy5PsJtkhftfdr6saN2i,Bassnectar,spotify:album:0oryGkFbtX43Bw81shJFHF,Vava Voom
2585,spotify:track:4RVShVACsetWsorIRgYQg9,Adrenaline,spotify:artist:67qogtRNI0GjUr8PlaG6Zh,Zeds Dead,spotify:album:5mOR42gVS3McYByGfAZx3W,Adrenaline
2589,spotify:track:1FgbslUrD0hTVw0usa4YLs,A Brief Tutorial On Vip Production (Vip) - Vip,spotify:artist:4rv9ymvcXOcbHrjkMkoA32,Dubba Jonny,spotify:album:0ywRMniYqoSF2V475RraTZ,All In
2615,spotify:track:1VArOPAgOq9uxNpPsiakiS,Human - Bassnectar Remixxx,spotify:artist:3LLs28LJVlXAjWc8UDkcQZ,Zion I,spotify:album:7wD4097Lf6w4j3Ovxzya7S,Freestyle
2616,spotify:track:7bTDpfwH9z5WSbgAQKwhc1,Ego Killer - Bassnectar & Timeline Remix,spotify:artist:4WoeMzXhDQyoFCKdji4FlL,Amp Live,spotify:album:7wD4097Lf6w4j3Ovxzya7S,Freestyle
2618,spotify:track:2mtZIYe8uK59Uk2er1MRIa,Heads Up (The Glitch Mob Remix),spotify:artist:1JPy5PsJtkhftfdr6saN2i,Bassnectar,spotify:album:0aq302XhbSNzsKGwTOhMQM,Divergent Spectrum Remix EP
2622,spotify:track:19MbwSLaYgAtyicNUMYYgl,Empathy,spotify:artist:1JPy5PsJtkhftfdr6saN2i,Bassnectar,spotify:album:0oryGkFbtX43Bw81shJFHF,Vava Voom
2633,spotify:track:2JPxMMWWLPz50bLqdfxgjg,Got 2 Know,spotify:artist:7muzHifhMdnfN1xncRLOqk,Flux Pavilion,spotify:album:0l20LbYG8S0iOWEnRSuPKB,Got 2 Know / Normalize
2675,spotify:track:5q8oybjZelukF4h0CzSUN9,Scary Monsters And Nice Sprites,spotify:artist:5he5w2lnU9x7JFhnwcekXX,Skrillex,spotify:album:6HbNEBza64W10MQxUFq6QL,Scary Monsters and Nice Sprites
3708,spotify:track:3V2cgvvI483DKomiZBYsAA,Bangarang (feat. Sirah),spotify:artist:5he5w2lnU9x7JFhnwcekXX,Skrillex,spotify:album:57ttSPbY8MHl7xQAhUVgIm,Bangarang EP
3709,spotify:track:5i7fZq3chLyCHo3VeB6goD,First Of The Year (Equinox) - Equinox,spotify:artist:5he5w2lnU9x7JFhnwcekXX,Skrillex,spotify:album:7ltvnXQCjQRwTlMy55XcCz,More Monsters and Sprites EP
4837,spotify:track:7d23MhPFE9eB3U8DPRirnL,Disparate Youth,spotify:artist:6Jrxnp0JgqmeUX1veU591p,Santigold,spotify:album:69jrxUSjHoEu6PeBMq3273,Master of My Make-Believe
