,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
3183,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,King For A Day,spotify:artist:4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,spotify:album:661Hz0qJK8WIp7vAWsqKvk,Collide With The Sky
3210,spotify:track:3ouugfdFz6exFXUxu7wRvD,If You Can't Hang,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:4TuNgoALZ10zEOHgfkxs8T,Let's Cheers To This
3211,spotify:track:7la8N6YLMUDAXl2iAEe9Sy,Scene Two - Roger Rabbit,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:5AwsetST9VPhNm2AvAEBnN,"If you were a movie, this would be your soundtrack"
3213,spotify:track:10bSodWJ0q2c63ECltBhIN,A Trophy Fathers Trophy Son,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:4TuNgoALZ10zEOHgfkxs8T,Let's Cheers To This
11670,spotify:track:1wFRkVclQWfMQQcaVLjmBE,"If I'm James Dean, You're Audrey Hepburn",spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:0AMC1Y0J0a5yN7lkOSWrJr,With Ears To See And Eyes To Hear
11671,spotify:track:1X5Vmsn025nGZslbFm3Scv,"With Ears to See, and Eyes to Hear",spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:0AMC1Y0J0a5yN7lkOSWrJr,With Ears To See And Eyes To Hear
29605,spotify:track:3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:3OBhnTLrvkoEEETjFA3Qfk,"HIStory - PAST, PRESENT AND FUTURE - BOOK I"
32032,spotify:track:0ZGD86ANZoQT2tU57Y4gCE,Scene Five - With Ears To See and Eyes To Hear,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:5AwsetST9VPhNm2AvAEBnN,"If you were a movie, this would be your soundtrack"
35957,spotify:track:5M9kio8FEFiNKyTDGqksy2,The Bomb Dot Com V2.0,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:0AMC1Y0J0a5yN7lkOSWrJr,With Ears To See And Eyes To Hear
36685,spotify:track:3ikf8zLuO1MACbNFfDvJ12,Do It Now Remember It Later,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:4TuNgoALZ10zEOHgfkxs8T,Let's Cheers To This
36686,spotify:track:5USz3xMIy6wvBpIhfGFccE,Who Are You Now,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:4TuNgoALZ10zEOHgfkxs8T,Let's Cheers To This
36687,spotify:track:3yI2yqaK2QfQouc84mBYv9,Postcards and Polaroids,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,spotify:album:4TuNgoALZ10zEOHgfkxs8T,Let's Cheers To This
