,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
63,spotify:track:2RttW7RAu5nOAfq6YFvApB,Happier,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:3T4tUhGYeRNVUGevb0wThu,÷
592,spotify:track:4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:album:5zClcGCSWj926AMjvBNSLc,Songs About Jane: 10th Anniversary Edition
610,spotify:track:6LBfozDVA7crIeuaPAVVlE,You'll Be In My Heart,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,Phil Collins,spotify:album:6fBzYwBKjuO4hmhcGuklJM,Tarzan Original Soundtrack
2776,spotify:track:7DVvm94B6KDKtI6wzG4Vvm,Next To You,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:album:6rEm9wAyZP79RFa2qW2bf7,F.A.M.E.
2860,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train,spotify:album:6j6Zgm7vzAZegr48UppFVT,Drops Of Jupiter
3047,spotify:track:3Uvx1TO0Kg5HgGPk58lHXv,How's It Going To Be,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,spotify:album:2gToC0XAblE9h3UZD6aAaQ,Third Eye Blind
3925,spotify:track:2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,spotify:album:46yAYzRhSMPA44m0MzSr6g,Make Me (Cry)
5171,spotify:track:6ZfXA2xakAvphXOSOJ3u1W,When I Look At You,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:0IuHVgAvbNDJnJepuSZ8Oz,The Time Of Our Lives
6260,spotify:track:4rHZZAmHpZrA3iH5zx8frV,Mirrors,spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:album:0O82niJ0NpcptYRxogeEZu,The 20/20 Experience (Deluxe Version)
7302,spotify:track:1fnCJ85pEhKrpU9IsxoitM,Lay Me Down,spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,spotify:album:2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour
12040,spotify:track:7rPLZ8Krm6CZIbraFUlnWZ,Make You Feel My Love,spotify:artist:4dpARuHxo51G3z768sgnrY,Adele,spotify:album:6Pb3K1oPXdhsqFXtzKe3Z1,19
13168,spotify:track:1u7kQUb3lQcpHaYRfia13A,And So It Goes,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,spotify:album:1Vw2uoVkLAJFVViJ1QyK1D,Storm Front
18136,spotify:track:4Dw02sVUfUA67l3fZ9FoKs,"My Heart Will Go On - Love Theme from ""Titanic""",spotify:artist:4S9EykWXhStSc15wEx8QFK,Céline Dion,spotify:album:05HEjdd9s8Egs5aa3r0YIF,All The Way... A Decade Of Song
19998,spotify:track:7ceIquYtiTYlgSSm7PqUf9,Already Gone,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,spotify:album:7KQy2pkGubHDzaTnPmX1oo,All I Ever Wanted
23558,spotify:track:4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:73pAZrAw8W3Ey9hBJYOVLt,It Will Rain
57352,spotify:track:7kK3KqNUyowLeeMX6W7oP5,Cry,spotify:artist:0XxYqdAMqriYeGQf1Se0Ln,Alexx Calise,spotify:album:5YaWfJv6lXPID7mDx1TK8q,In Avanti
57598,spotify:track:045sp2JToyTaaKyXkGejPy,Fake Plastic Trees,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,spotify:album:500FEaUzn8lN9zWFyZG5C2,The Bends
58620,spotify:track:6oQRvWaoFDJpTTnaWdzhXt,Love in the Dark,spotify:artist:4dpARuHxo51G3z768sgnrY,Adele,spotify:album:0K4pIOOsfJ9lK8OjrZfXzd,25
244529,spotify:track:07QJNqdZ9nQ2TmJdF3YBmq,Another Now,spotify:artist:2pJc0GM8VMsVUZphZNR9rm,H2O - Plötzlich Meerjungfrau!,spotify:album:1k8FYBR8PtOeh8ZIS8PCvg,H2O - Plötzlich Meerjungfrau (Die Musik Zur Serie)
263908,spotify:track:3TzAaifUYY2ROlF4FEurBT,The Scientist (feat. Hannah Trigwell),spotify:artist:7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,spotify:album:23tEU9zTAsxwR2fbY2dT8K,"Cover Collaborations, Vol. 3"
1574130,spotify:track:3KHf8e64UV2aF9TzaG4oWZ,Never Goodbye (Always C U Later),spotify:artist:0V9kj419qKJ3DsnAXEsh9G,Ashley Jana,spotify:album:3GkU92CMIBFGm8LET0pEiQ,Electricity
