,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
3277,spotify:track:5aQmsZCESbhasWW5VARdS8,Loud,spotify:artist:4LLpKhyESsyAXpc4laK94U,Mac Miller,spotify:album:2ooJu6d23HennKkFfj5bdR,Loud
129150,spotify:track:2eBy71gLx049nJ2fsvuQjM,Lights Down Low,spotify:artist:0GzIauSfKRc5BlNXpTWAGz,Jessie James Decker,spotify:album:5v2A4PI0lkcjPJHGrqTAW9,Lights Down Low
337868,spotify:track:42MugaGyjJt5jHcn6uXgQw,Heavy Island of Borneo Ambience,spotify:artist:0qhhlPFVV3YoxoB4jtqvkx,Nature Sound Collection,spotify:album:4GWSfEGWNCOGWvTkkiIgYn,200 Nature Sounds
419669,spotify:track:4K5o0A7lQpHox49jSNc7Yk,Refreshing Claps In Thunderstorm,spotify:artist:4NqS7DbPFYwZmniGHCPMpm,Nature Sounds,spotify:album:345w1De5Lt2L63DHc1kdYk,Thunderstorm
495236,spotify:track:7vHaqMmt5DGacX6c6YCuCP,Calm Tropical Rainforest Nature Sounds,spotify:artist:4NqS7DbPFYwZmniGHCPMpm,Nature Sounds,spotify:album:2PPfl28ysMbOkl2DBJ5Dr4,Rainforest - Sounds of Nature
607902,spotify:track:1ucb2TBTdxDAaDVMLWGtgX,Thoughtful Afternoon Rainforest Environment,spotify:artist:4NqS7DbPFYwZmniGHCPMpm,Nature Sounds,spotify:album:2PPfl28ysMbOkl2DBJ5Dr4,Rainforest - Sounds of Nature
607903,spotify:track:0AFz1uLoD7Kv5SnCeodrRD,Calming Night-Time Rain Sounds,spotify:artist:4NqS7DbPFYwZmniGHCPMpm,Nature Sounds,spotify:album:1ytTj3y3fBx09Fdc5aVzW5,Relaxing Rain Sounds
748999,spotify:track:3uGk1gDFXQSXPwxVjtcNWu,Country Crickets Sleep Aid Loop,spotify:artist:5RZS0SXUPOybDrsKJUBAP7,HB,spotify:album:6RqEMiXSrJ2CktsDvztFiA,Country Crickets Sleep Aid Loop - Single
749000,spotify:track:5sT358T58i5g3nbJHZ1U6F,Seal Cove Pond 10/30 8am,spotify:artist:2xmSfP65WLEwRyrQlpODuR,Aaron Lewis,spotify:album:2pwkOeetQXNKjKrXIDu2JB,Sounds of Mount Desert Island
749001,spotify:track:0HmNAdUwdRW7kob9WLMtZM,Waterfall Sounds - Constant Roar of a Mountain Waterfall to Reduce Stress,spotify:artist:7bIRcVzpCMJ13XbgqjvgST,Out of Body Experience,spotify:album:1FKy2CKVamU1pgz67FVoGu,Hypnotic Music with Nature Sounds and Natural White Noise. Natural Sounds of Nature for an Out of Body Experience
