,PLAYLIST_PID,relaxed,sad,happy,angry,PID,Emotion
0,2100,0.2722014293131836,0.18394433754323694,0.290814757013123,0.2530394801262726,2100,happy
1,2466,0.0198513159356916,0.2060487331525825,0.08965468762987087,0.6844452602223706,2466,angry
2,2575,0.28457698225975037,9.030787623487413e-06,0.715290367603302,0.00012363045243546367,2575,happy
3,3529,0.5352528247572731,0.07032478569718544,0.23567867571016773,0.15874370608746954,3529,relaxed
4,3553,0.34026859357257255,0.19170388522252674,0.1825227914293457,0.2855047273370835,3553,happy
5,6721,0.3374301079711981,0.15044972561597092,0.41339798265713673,0.09872219864799896,6721,relaxed
6,8570,0.23077044479457914,0.26449183606476717,0.15856327520244273,0.3461744381548103,8570,happy
7,8658,0.29853425171429326,0.12413728079384546,0.41120902453698444,0.16611943776592852,8658,happy
8,9655,0.21834987745961326,0.5233078672139554,0.20803766262190967,0.05030458249759596,9655,happy
9,10224,0.3578318390095576,0.24496795738409477,0.11116435816027502,0.28603584265590104,10224,happy
10,10325,0.004832071717828512,0.02588937059044838,0.0003478687140159309,0.9689306020736694,10325,relaxed
11,10400,0.34241411433322355,0.22685743236510653,0.216767960306769,0.21396048767131728,10400,relaxed
12,10572,0.4945830747878972,0.1735123430534292,0.24636145875751936,0.08554313049489792,10572,happy
13,16036,0.37555017072706204,0.09557957910065605,0.4232782021472977,0.10559204673996579,16036,happy
14,18734,0.31744846372748725,0.10548514388601878,0.4116066274194357,0.1654597405346673,18734,happy
15,21217,0.4619892414010599,0.13007602777161573,0.31685556279904686,0.09107916654406698,21217,relaxed
16,22628,0.2765131557222888,0.034742420452925346,0.6416241550155414,0.047120273715126344,22628,sad
17,23544,0.2852959564553947,0.21484181547204947,0.29994923996592476,0.19991299256385406,23544,relaxed
18,24143,0.22295551302073258,0.04463760582906401,0.49757130094584523,0.23483557881745049,24143,relaxed
19,27101,0.3666651466352478,0.13371660527719634,0.19983651354933124,0.2997817277838655,27101,sad
20,44631,0.2294308360465144,0.16080541317976957,0.41023094572183355,0.19953280314168592,44631,sad
21,46146,0.389635081997767,0.09516041791857902,0.24262386888294712,0.2725806252386519,46146,relaxed
22,51818,0.3160968568429073,0.2997139964761863,0.20996524999969146,0.1742238909724847,51818,sad
23,61723,0.2679840661699107,0.09192836865591036,0.4583093849915795,0.18177817286603243,61723,sad
24,66889,0.41585446168619455,0.08485670278393154,0.4526382382009615,0.046650592053538276,66889,sad
25,66984,0.0013324727297003847,0.28444785650754056,0.0052216011590644484,0.708998054265976,66984,angry
26,67781,0.2705995963686254,0.21199699815395137,0.20901517864615674,0.30838822346242434,67781,sad
27,86626,0.22645858046290718,0.053371478735787056,0.5663475572335301,0.1538223914483145,86626,sad
28,88155,0.32081691695296494,0.12029307549907306,0.4110390816270762,0.1478509275769489,88155,sad
29,98451,0.23526349904378208,0.06448598688655172,0.4014578289051087,0.29879269808208164,98451,sad
30,130767,0.3007048247482089,0.19511321426069522,0.30637337343455673,0.1978085812101626,130767,angry
31,176336,0.07618276299761344,0.24840288146044195,0.15289483707053875,0.5225195148981211,176336,angry
32,213226,0.32515786856129125,0.09843870972569373,0.0009088091549832219,0.5754946737494416,213226,angry
33,317182,0.15021886653379196,0.1661341132652631,0.20411093434444516,0.4795360989553635,317182,angry
34,357827,0.1918833172397886,0.3005418591795855,0.05664604920972514,0.4509287858307029,357827,angry
35,454776,0.25780125440170115,0.2645025570959306,0.24630659732672366,0.2313895966102106,454776,angry
36,597121,0.383042329086796,0.21557320447694414,0.30303836673704154,0.09834609156272715,597121,angry
37,863720,0.20073200255458634,0.4214817571857887,0.0627841055315329,0.3150021282478305,863720,angry
