,Artist,Song,Emotion
0,.38 Special,Fantasy Girl,relaxed
1,.38 Special,Second Chance,happy
2,22-20s,Hold On,angry
3,3 Inches Of Blood,Trial Of Champions,angry
4,3 of Hearts,Is It Love,happy
5,30 Seconds To Mars,Search And Destroy,angry
6,311,Lovesong,happy
7,36 Crazyfists,The All Night Lights,sad
8,A Flock Of Seagulls,Space Age Love Song,happy
9,A Place To Bury Strangers,Everything Always Goes Wrong,happy
10,ABC,Poison Arrow,angry
11,AFI,Summer Shudder,sad
12,Aaron Hall,All The Places ,happy
13,Aaron Lewis,Massachusetts,relaxed
14,Aaron Shust,Give Me Words To Speak,relaxed
15,Aaron Shust,My Savior My God,happy
16,Aaron Shust,To God Alone,happy
17,Aaron Shust,Watch Over Me,sad
18,Aaron Watson,Whiskey on the Fire,angry
19,Above The Golden State,I'll Love You So,happy
20,Abysmal Dawn,The Descent,sad
21,Adam Ant,Something Girls,relaxed
22,Adele,Love Song,happy
23,Adelitas Way,Sick,sad
24,Aerosmith,Fever,sad
25,Aerosmith,Get A Grip,sad
26,Aerosmith,Janie's Got A Gun,angry
27,Against Me!,I Was A Teenage Anarchist,angry
28,Agnes,I Need You Now,sad
29,Aiden,Killing Machine,angry
30,Air,Cherry Blossom Girl,relaxed
31,Air,Love,happy
32,Air,Napalm Love,happy
33,Air,Sexy Boy,happy
34,Akon,Don't Matter,angry
35,Akon,Lonely,sad
36,Al Green,I'm Still In Love With You,happy
37,Al Green,You Are So Beautiful,happy
38,Al Green,You've Got The Love I Need ,happy
39,Al Jarreau,White Christmas,relaxed
40,Al Martino,I Love You Because,happy
41,Alabama,Down Home,relaxed
42,Alabama,Old Flame,angry
43,Alabama,Sad Lookin' Moon,sad
44,Alaine,Heavenly,happy
45,Alan Jackson,A Woman's Love,happy
46,Alan Jackson,Let It Be Christmas,happy
47,Alan Jackson,Ring Of Fire,angry
48,Alaska Y Dinarama,Ni Tu Ni Nadie,sad
49,Albert Hammond,Echame A Mi La Culpa,sad
50,Alejandra Guzman,Hacer El Amor Con Otro,sad
51,Alejandra Guzman,Hasta El Final,sad
52,Alejandro Escovedo,Anchor,happy
53,Alejandro Escovedo,Silver Cloud,happy
54,Alejandro Fernandez,Matalas,sad
55,Alejandro Fernandez,Si He Sabido Amor,sad
56,Alejandro Sanz,Cuando Nadie Me Ve,sad
57,Aleks Syntek,Duele El Amor ,sad
58,Alela Diane,To Begin,sad
59,Alex Bueno,Que Vuelva,sad
60,Alexander O'Neal,Innocent,relaxed
61,Aliados De La Sierra,Te Amo,sad
62,Alias,More Than Words Can Say,relaxed
63,Alice Cooper,Be My Lover,relaxed
64,Alice Cooper,No More Mr. Nice Guy,sad
65,Alice Cooper,Poison,angry
66,Alice Cooper,School's Out,sad
67,Alice Cooper,Welcome To My Nightmare,angry
68,Alice Cooper,You Drive Me Nervous,angry
69,Alice In Chains,Take Her Out,sad
70,Alice Russell,Hurry On Now,sad
71,Alicia Keys,Fallin',happy
72,Alicia Keys,That's How Strong My Love Is,happy
73,Alkaline Trio,Burn,angry
74,Alkaline Trio,This Addiction,sad
75,Alkaline Trio,Time To Waste,sad
76,All That Remains,Become The Catalyst,angry
77,All-4-One,So Much In Love,happy
78,Altered Images,Happy Birthday,happy
79,Amorphis,Privilege of Evil (From the Privilege of Evil EP),angry
80,Amy Grant,Lucky One,happy
81,Amy Grant,Silent Night,relaxed
82,Ana Barbara,Bandido,sad
83,Anders Osborne,Darkness At The Bottom,sad
84,Anders Osborne,Killing Each Other,angry
85,Andrew Bird,Plasticities,angry
86,Andrew Bird,Simple X,angry
87,Andrew Gold,Lonely Boy,sad
88,Andrew W.K.,Long Live The Party,happy
89,Andreya Triana,X,sad
90,Andy Andy,Que Ironia,sad
91,Andy Kim,Rock Me Gently,relaxed
92,Andy Palacio & The Garifuna Collective,Baba ,sad
93,Andy Williams,Butterfly,relaxed
94,Andy Williams,Silent Night,relaxed
95,Angel City,Love Me Right ,happy
96,Angela Winbush,Angel,relaxed
97,Animal Collective,Bleed,angry
98,Anita Baker,Angel,relaxed
99,Anita Baker,Good Love,happy
100,Anita Baker,Lead Me Into Love,happy
101,Anita Baker,Same Ole Love ,happy
102,Anita Baker,You Bring Me Joy,happy
103,Ann & Nancy Wilson,Blue Christmas,relaxed
104,Ann Hampton Callaway,What Is This Thing Called Love?,happy
105,Ann Nesby,Put It On Paper ,sad
106,Anna Calvi,Desire,angry
107,Anna Calvi,No More Words,happy
108,Anna Calvi,The Devil,angry
109,Annie Lennox,Walking On Broken Glass,sad
110,Anthony Hamilton,The Point Of It All,happy
111,Anthrax,Among The Living,angry
112,Anthrax,Among the Living,angry
113,Anti-Flag,Turncoat,angry
114,Antony & The Johnsons,Shake That Devil,relaxed
115,Antony Santos,"Hay De Mi, Hay De Ti",sad
